1883,1169,2030,1138,2039,1182,1893,1214,0,"EXIT"
759,1007,1125,1046,1113,1158,747,1119,0,"柠檬茶"
927,1386,1018,1386,1018,1414,927,1414,0,"水果汁"
1162,1432,1269,1440,1266,1479,1159,1471,0,"奶茶三兄弟"
1256,1535,1299,1524,1304,1546,1262,1558,0,"茶饮"
921,1438,1027,1438,1027,1468,921,1468,0,"增加维生素"
918,1468,1009,1461,1011,1480,919,1487,0,"止渴生津"
681,1255,743,1264,740,1287,678,1278,0,"柠檬茶"
644,1298,778,1311,776,1343,641,1331,0,"阿尔卑斯烤奶"
657,1481,755,1473,757,1503,659,1511,0,"香醇可口"
1052,1291,1104,1292,1104,1315,1051,1313,0,"柠檬茶"
8,1408,175,1411,167,2029,0,2027,0,"柠檬茶"
600,1805,812,1813,810,1857,598,1849,0,"此周特推"
562,1853,845,1865,843,1914,559,1901,0,"酸梅汤二元"
571,1901,852,1908,850,1957,569,1950,0,"原味奶茶五元"
572,1945,864,1949,863,1997,571,1992,0,"冰爽特饮八元"
1150,1900,1222,1892,1225,1919,1153,1927,1,"###"
457,1320,590,1329,588,1364,455,1354,0,"冰凉一夏"
465,1381,581,1378,582,1412,466,1415,1,"###"
391,1226,458,1231,456,1257,390,1251,0,"柠檬茶"
1346,1831,1402,1828,1402,1852,1346,1854,1,"###"
215,1674,348,1674,348,1703,215,1703,1,"###"
418,2669,460,2669,460,2704,418,2704,1,"###"
1842,1123,2072,1052,2073,1133,1848,1192,0,"安全出口"
1413,1732,1467,1732,1467,1747,1413,1747,1,"###"
1407,1759,1464,1759,1464,1773,1407,1773,1,"###"
1412,1774,1466,1774,1466,1782,1412,1782,1,"###"
1416,1782,1461,1782,1461,1792,1416,1792,1,"###"
1410,1791,1472,1791,1472,1800,1410,1800,1,"###"
1407,1801,1419,1801,1419,1809,1407,1809,1,"###"
1408,1815,1466,1815,1466,1828,1408,1828,1,"###"
1410,1827,1467,1827,1467,1837,1410,1837,1,"###"
1407,1836,1467,1836,1467,1848,1407,1848,1,"###"
1410,1856,1470,1856,1470,1874,1410,1874,1,"###"
