1140,1091,1237,1091,1237,1484,1140,1484,0,"刘三车行"
1139,1045,1158,1045,1158,1222,1139,1222,1,"###"
1026,1411,1062,1411,1062,1527,1026,1527,1,"###"
355,90,384,90,384,150,355,150,1,"###"
324,87,352,87,352,152,324,152,1,"###"
202,229,233,229,233,276,202,276,1,"###"
168,298,203,298,203,338,168,338,1,"###"
161,819,191,819,191,898,161,898,1,"###"
317,1628,365,1628,365,1672,317,1672,0,"方"
0,1675,89,1675,89,2169,0,2169,1,"###"
974,986,1061,986,1061,1406,974,1406,1,"##世纪风"
246,1842,261,1842,261,1883,246,1883,1,"###"
333,1879,359,1879,359,2010,333,2010,1,"###"
264,1841,280,1841,280,1878,264,1878,1,"###"
647,2063,668,2063,668,2096,647,2096,1,"###"
686,1784,705,1783,726,1892,705,1893,1,"###"
653,1914,691,1875,699,1884,663,1923,1,"###"
575,1811,586,1801,610,1821,601,1831,1,"###"
620,1852,628,1847,644,1871,636,1874,1,"###"
696,2013,707,2013,707,2044,696,2044,1,"###"
540,1893,550,1883,570,1902,558,1913,1,"###"
