164,674,495,647,498,684,167,710,0,"医疗机构名称"
554,630,1090,579,1096,635,560,686,0,"王俊平个体诊所"
140,723,536,689,540,727,144,761,0,"诊疗范围：妇科"
744,667,1144,634,1147,671,746,704,0,"诊疗对象：社会"
129,761,520,731,522,768,131,798,0,"诊疗方式：门诊"
728,713,1144,680,1146,716,731,749,0,"负责人：王俊平"
101,809,1162,720,1166,763,105,853,0,"执业地址：仙桃市复州大道袁市社区13号"
74,861,780,803,783,848,78,906,0,"联系电话：13407272442"
839,802,1412,755,1416,793,842,841,0,"监督电话：3324061"
2415,918,2536,909,2542,992,2421,1001,0,"中"
2249,1075,2667,1050,2676,1192,2258,1218,0,"王健"
