74,1574,854,1600,846,1862,66,1837,0,"命运是未定的"
216,1959,1214,1985,1208,2228,210,2202,0,"我们可以创造未来"
41,2540,789,2543,789,2786,40,2783,0,"终结者"
195,2801,646,2811,643,2908,192,2897,0,"创世纪"
312,2990,621,2995,621,3045,312,3041,0,"影时尚影业集团"
268,2932,674,2936,674,2990,267,2986,0,"China Movie Media Group"
2076,1103,2171,1107,2170,1135,2075,1131,1,"###"
1764,168,1799,160,1777,621,1748,627,0,"臻品足"
1795,214,1849,154,1844,270,1792,328,0,"足疗"
1856,126,1919,57,1921,176,1856,245,0,"保健"
1930,1,2007,0,2010,67,1931,150,0,"养生"
1868,1031,1979,1031,1979,1138,1868,1138,0,"拾味館"
