1034,1449,1078,1443,1150,1919,1106,1926,0,"张灯结彩迎信春"
1244,1387,1325,1384,1327,1424,1246,1427,0,"合家欢乐"
59,2224,84,2223,88,2293,64,2294,0,"六个核桃"
193,2195,220,2194,224,2261,198,2263,0,"六个核桃"
310,2169,335,2168,339,2235,315,2236,0,"六个核桃"
1189,1894,1216,1886,1225,1918,1198,1926,0,"旺仔牛奶"
526,1603,553,1600,558,1660,530,1663,0,"枝江王"
751,1699,777,1696,784,1758,759,1761,0,"稻花香"
788,1698,813,1696,820,1754,796,1757,0,"稻花香"
38,1756,211,1745,213,1783,41,1793,0,"馆菜活生"
212,1730,261,1730,261,1792,212,1792,0,"园"
274,1733,305,1731,307,1779,276,1780,0,"郭"
298,1739,351,1733,356,1778,302,1783,0,"随"
228,1498,243,1498,243,1526,228,1526,0,"白云边"
296,1497,313,1497,312,1526,294,1525,0,"白云边"
841,1682,872,1679,875,1718,844,1720,0,"发"
424,2149,468,2142,473,2167,428,2174,0,"香蕉牛奶"
422,2228,464,2215,470,2234,427,2247,0,"香蕉牛奶"
1311,1959,1323,1956,1332,2008,1319,2010,1,"###"
1124,1641,1163,1636,1171,1684,1132,1690,0,"客"
916,1288,937,1284,950,1360,929,1364,0,"朔饭"
853,1401,875,1398,886,1466,864,1469,0,"苦荞"
1021,1373,1081,1376,1080,1410,1019,1408,1,"###"
130,768,1447,1111,1430,1292,98,971,0,"齐齐平价超市"
1215,1192,1474,1239,1474,1279,1215,1233,0,"联系电话：13986928895"
854,1289,894,1289,894,1389,854,1389,1,"###"
472,2005,500,2005,500,2019,472,2019,1,"###"
517,1996,549,1996,549,2012,517,2012,1,"###"
581,1614,611,1614,611,1632,581,1632,1,"###"
624,1616,657,1616,657,1628,624,1628,1,"###"
665,1613,699,1613,699,1630,665,1630,1,"###"
500,1613,519,1613,519,1667,500,1667,0,"稻花香"
436,1634,460,1634,460,1678,436,1678,1,"###"
381,1627,409,1627,409,1642,381,1642,1,"###"
439,1619,458,1619,458,1627,439,1627,1,"###"
587,1588,601,1588,601,1604,587,1604,0,"郎"
627,1588,644,1588,644,1602,627,1602,1,"###"
671,1587,685,1587,685,1601,671,1601,1,"###"
751,1497,763,1497,763,1527,751,1527,1,"###"
787,1504,801,1504,801,1525,787,1525,1,"###"
823,1502,835,1502,835,1524,823,1524,1,"###"
861,1505,870,1505,870,1524,861,1524,1,"###"
895,1506,904,1506,904,1525,895,1525,1,"###"
926,1505,935,1505,935,1524,926,1524,1,"###"
665,2089,676,2089,676,2127,665,2127,1,"###"
665,2150,675,2150,675,2185,665,2185,1,"###"
545,2120,569,2120,569,2135,545,2135,1,"###"
539,2189,564,2189,564,2202,539,2202,1,"###"
851,1863,861,1863,861,1895,851,1895,1,"###"
962,2013,987,2013,987,2086,962,2086,0,"苦荞"
667,1414,682,1414,682,1451,667,1451,1,"###"
705,1414,719,1414,719,1451,705,1451,1,"###"
1275,1971,1290,1971,1290,2010,1275,2010,1,"###"
1321,2073,1335,2073,1335,2124,1321,2124,1,"###"
412,1410,426,1410,426,1459,412,1459,1,"###"
445,1407,467,1407,467,1462,445,1462,1,"###"
526,1414,546,1414,546,1463,526,1463,1,"###"
560,1416,582,1416,582,1464,560,1464,1,"###"
598,1412,617,1412,617,1460,598,1460,1,"###"
533,1283,552,1283,552,1331,533,1331,1,"###"
1237,2119,1266,2119,1266,2148,1237,2148,1,"###"
1220,2029,1246,2029,1246,2056,1220,2056,1,"###"
