687,865,856,865,856,1009,687,1009,0,"福"
1229,849,1387,849,1387,1001,1229,1001,0,"福"
709,601,915,601,915,642,709,642,1,"###"
704,648,911,648,911,674,704,674,1,"###"
695,684,906,684,906,717,695,717,1,"###"
681,722,904,722,904,756,681,756,1,"###"
676,767,901,767,901,800,676,800,1,"###"
1181,601,1369,601,1369,632,1181,632,1,"###"
1180,639,1376,639,1376,666,1180,666,1,"###"
1190,680,1378,680,1378,708,1190,708,1,"###"
1183,718,1383,718,1383,749,1183,749,1,"###"
1187,760,1387,760,1387,787,1187,787,1,"###"
1161,344,1323,344,1323,392,1161,392,1,"###"
1149,380,1386,380,1386,442,1149,442,1,"###"
1163,445,1358,445,1358,495,1163,495,1,"###"
738,334,915,334,915,389,738,389,1,"###"
720,380,974,380,974,442,720,442,1,"###"
731,441,930,441,930,490,731,490,1,"###"
