102,1034,2192,1063,2185,1516,95,1486,0,"佳佳鞋吧"
2160,1900,2443,1896,2444,1957,2160,1962,0,"电话:18"
1989,2024,2070,2027,2068,2064,1988,2062,0,"A-008"
2082,2027,2298,2017,2300,2073,2084,2083,0,"钻石绣到货"
2084,2104,2299,2094,2301,2150,2086,2160,0,"十字绣八折"
2340,2094,2396,2083,2404,2122,2348,2134,0,"热销中"
1067,2014,1205,2009,1206,2034,1068,2039,0,"VELODEAR"
2040,3063,2113,3053,2115,3076,2042,3085,1,"###"
2037,3002,2131,2996,2132,3020,2039,3027,1,"###"
2352,2134,2397,2121,2409,2162,2364,2175,1,"###"
2361,2188,2405,2175,2414,2205,2370,2218,1,"###"
2369,2221,2408,2210,2417,2245,2378,2256,1,"###"
2373,2264,2420,2254,2427,2282,2380,2293,1,"###"
807,2020,974,2020,974,2046,807,2046,1,"###"
2046,3082,2125,3082,2125,3093,2046,3093,1,"###"
2043,3021,2129,3021,2129,3030,2043,3030,1,"###"
2388,2297,2432,2286,2440,2321,2396,2332,1,"###"
1873,2172,1881,2172,1881,2232,1873,2232,1,"###"
2125,1732,2310,1732,2310,1854,2125,1854,0,"十"
